,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,main_artist,duration_min,hot100
66,4OsP34HIoxIcyXg7MbFcAO,3000 Days,0,533185,1,['Zydrate'],['4ot1riPUyxVziYww4gmZQ1'],2010-10-30,0.248,0.533,0,-15.27,0,0.232,0.000297,0.286,0.37,0.0394,79.658,4,Zydrate,8.886416666666667,False
67,305ayg5E2vWAIeIPLR4qJJ,La quiero a ella,52,181320,0,['La Champions Liga'],['4osqF39bEPXPsJfVUXeCh3'],2010-02-07,0.659,0.624,7,-4.2,1,0.0732,0.216,0.0,0.136,0.83,180.159,4,La Champions Liga,3.022,False
68,5cUkBPwI6vx5orkMVbi1Qr,Chazak!,34,269107,0,['Avraham Fried'],['5GCh3ZazIVWg8eKb5Akv0q'],2010-11-03,0.578,0.93,9,-6.186,0,0.0443,0.536,3.41e-06,0.409,0.892,174.858,4,Avraham Fried,4.485116666666666,False
69,4J9n7thOdqi8gxRGNyQoVC,Gal Mitthi Mitthi,53,255907,0,"['Amit Trivedi', 'Tochi Raina']","['7HCqGPJcQTyGJ2yqntbuyr', '6k6dimE4a6OFnD0HWmkIUW']",2010-07-05,0.906,0.699,0,-5.526,1,0.0462,0.13,0.0165,0.178,0.938,129.946,4,Amit Trivedi,4.265116666666667,False
70,2VwNBK256dUdgZex2WV2Gx,Olmaz,34,214453,0,['Model'],['23xJQJM7peht77DF6YNEoq'],2010-09-20,0.703,0.822,4,-3.258,0,0.0375,0.258,9.74e-06,0.129,0.755,100.924,4,Model,3.5742166666666666,False
71,2eFXw7GRWwLBkIV3yk9VDp,Que Estés Sonriendo,39,236225,0,['Las Pelotas'],['1Qv4E1VgZOGnOYd99Kp5Bs'],2010-11-09,0.83,0.517,5,-7.971,1,0.0424,0.0224,0.000105,0.128,0.828,114.034,4,Las Pelotas,3.9370833333333333,False
72,2dO075LaWXE6UWwnEo6jP1,"Kali Som, Kali Som",19,353267,0,['Rosinova Katarina'],['4aLTPw3sQwm3Dl282UAy4C'],2010-08-14,0.381,0.48,0,-7.312,1,0.0389,0.909,0.00176,0.0827,0.249,138.476,4,Rosinova Katarina,5.887783333333333,False
73,74yQRKUunP1sRjnnMks4SG,"Let It Snow, Let It Snow, Let It Snow",28,126200,0,"['Kurt Nilsen', 'The Norwegian Radio Orchestra']","['49HPMFWsosCuRf810Ay1Vv', '17ggmeNujCFMkr3zgyXv02']",2010-11-12,0.404,0.475,5,-8.988,1,0.0536,0.717,0.0,0.0616,0.655,146.827,4,Kurt Nilsen,2.1033333333333335,False
74,0YgFRQLFfJ5pm34HWHU5Zj,Amame,38,218175,0,['Amaya Hnos'],['5jSk6SgXKrDMuyvyVtoHkZ'],2010-05-27,0.616,0.884,7,-5.208,1,0.0368,0.102,0.00156,0.0987,0.756,173.01,3,Amaya Hnos,3.63625,False
75,7KkgWajI9Edh6fm5MvrUxe,El Culpable,47,230227,0,['Espinoza Paz'],['01rgao9OzfBm2BOHWJpi1Y'],2010-08-10,0.785,0.392,2,-7.357,0,0.0408,0.173,0.000161,0.0875,0.491,144.963,4,Espinoza Paz,3.8371166666666667,False
