id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,main_artist,duration_min,hot100
0WCiI0ddWiu5F2kSHgfw5S,Take It Off,71,215200,0,['Kesha'],['6LqNN22kT3074XbTVUrhzX'],2010-01-01,0.729,0.675,5,-5.292,0,0.0286,4.14e-05,0.00126,0.0867,0.74,125.036,4,Kesha,3.5866666666666664,True
6Iocm6VMu6bVNYwiDoyQFW,Coming Home,71,238693,0,"['Diddy - Dirty Money', 'Skylar Grey']","['2QYEvpsWUOjqaYuxDPTCmV', '4utLUGcTvOJFr6aqIJtYWV']",2010-01-01,0.392,0.839,7,-1.921,1,0.193,0.158,0.0,0.3,0.232,168.001,4,Diddy - Dirty Money,3.9782166666666665,True
67Io3gxHwfbUreBf114c0u,Mine,64,230773,0,['Taylor Swift'],['06HL4z0CvFAxyc27GXpf02'],2010-01-01,0.621,0.78,7,-2.934,1,0.0297,0.00327,4.55e-06,0.184,0.672,121.038,4,Taylor Swift,3.846216666666667,True
6vc2Jq2vaGu8z326kSrw92,Your Love Is My Drug,70,187133,0,['Kesha'],['6LqNN22kT3074XbTVUrhzX'],2010-01-01,0.826,0.612,1,-3.891,1,0.0982,0.00681,0.0,0.0889,0.756,120.057,4,Kesha,3.1188833333333332,True
3bMNprrp2JDKZsGbiXpsJl,My Chick Bad,69,216933,1,"['Ludacris', 'Nicki Minaj']","['3ipn9JLAPI5GUEo4y4jcoi', '0hCNtLu0JehylgoiP8L4Gh']",2010-01-01,0.624,0.723,1,-6.782,1,0.378,0.172,0.0,0.483,0.757,84.789,4,Ludacris,3.61555,True
1w6kG4Rc29m5EherbvpkF5,Your Love,63,245253,1,['Nicki Minaj'],['0hCNtLu0JehylgoiP8L4Gh'],2010-01-01,0.422,0.52,11,-10.231,1,0.343,0.00204,0.00413,0.411,0.184,189.63,4,Nicki Minaj,4.08755,True
1WtTLtofvcjQM3sXSMkDdX,How Low,64,201587,1,['Ludacris'],['3ipn9JLAPI5GUEo4y4jcoi'],2010-01-01,0.785,0.498,1,-6.977,1,0.0533,0.00248,1.23e-06,0.224,0.418,143.96,4,Ludacris,3.359783333333333,True
1EoHEkVcysf4WVDx6r9WzQ,Over,61,233560,1,['Drake'],['3TVXtAsR1Inumwj472S9r4'],2010-01-01,0.325,0.848,7,-5.611,1,0.279,0.0109,0.0,0.124,0.433,100.093,5,Drake,3.8926666666666665,True
2ENexcMEMsYk0rVJigVD3i,Only Girl (In The World),75,235493,0,['Rihanna'],['5pKCCKE2ajJHZ9KAiaK11H'],2010-01-01,0.789,0.706,11,-4.233,0,0.0429,0.112,1.71e-05,0.0586,0.638,125.911,4,Rihanna,3.9248833333333333,True
7GAaTpSoTWUTbP2Yxlt4Hd,Need You Now,73,236440,0,['Lady A'],['32WkQRZEVKSzVAAYqukAEA'],2010-01-01,0.581,0.717,4,-4.433,1,0.0318,0.0298,0.000186,0.243,0.316,107.884,4,Lady A,3.9406666666666665,True
7ElF5zxOwYP4qVSWVvse3W,Break Your Heart,74,201547,0,['Taio Cruz'],['6MF9fzBmfXghAz953czmBC'],2010-01-01,0.607,0.934,3,-4.217,1,0.0314,0.0327,0.0,0.0909,0.568,122.01,4,Taio Cruz,3.3591166666666665,True
0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,83,199693,0,['Kesha'],['6LqNN22kT3074XbTVUrhzX'],2010-01-01,0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028,4,Kesha,3.3282166666666666,True
2CEgGE6aESpnmtfiZwYlbV,Dynamite,80,202613,0,['Taio Cruz'],['6MF9fzBmfXghAz953czmBC'],2010-01-01,0.751,0.783,4,-3.724,1,0.0859,0.00379,0.0,0.036,0.816,119.975,4,Taio Cruz,3.3768833333333332,True
6epn3r7S14KUqlReYr77hA,Baby,79,214240,0,"['Justin Bieber', 'Ludacris']","['1uNFoZAHBGtllmzznpCI3s', '3ipn9JLAPI5GUEo4y4jcoi']",2010-01-01,0.728,0.859,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043,4,Justin Bieber,3.570666666666667,True
18PSaTJMLkFNWnW0NWdOAW,Find Your Love,59,208947,0,['Drake'],['3TVXtAsR1Inumwj472S9r4'],2010-01-01,0.625,0.613,6,-6.005,0,0.173,0.0209,0.0,0.0286,0.738,96.033,4,Drake,3.48245,True
